experiment name	run name	in domain accuracy	out of domain accuracy	cond_3_unacceptable	cond_4_acceptable	npi=any	npi=any_cond_3_unacceptable	npi=any_cond_4_acceptable	npi=ever	npi=ever_cond_3_unacceptable	npi=ever_cond_4_acceptable	npi=yet	npi=yet_cond_3_unacceptable	npi=yet_cond_4_acceptable
/scratch/asw462/jiant/structure_dependence/npi_scope/npi_scope_10k_sweep	run_9	1.0	0.1596722621902478	0.14388489208633093	0.17545963229416467	0.6187050359712231	0.03836930455635491	0.4364508393285372	0.6208033573141487	0.3932853717026379	0.08992805755395683	0.5	0.0	0.0
/scratch/asw462/jiant/structure_dependence/npi_scope/npi_scope_10k_sweep	run_6	1.0	0.017985611510791366	0.0	0.03597122302158273	0.5233812949640287	0.0	0.09352517985611511	0.5035971223021583	0.0	0.014388489208633094	0.5	0.0	0.0
/scratch/asw462/jiant/structure_dependence/npi_scope/npi_scope_1k_sweep	run_4	0.626984126984127	0.47023809523809523	0.4523809523809524	0.4880952380952381	0.5535714285714286	0.44047619047619047	0.47619047619047616	0.5386904761904762	0.4642857142857143	0.47619047619047616	0.5535714285714286	0.4523809523809524	0.5119047619047619
/scratch/asw462/jiant/structure_dependence/npi_scope/npi_scope_1k_sweep	run_8	0.6845238095238095	0.5952380952380952	0.7619047619047619	0.42857142857142855	0.5357142857142857	0.7380952380952381	0.19047619047619047	0.8809523809523809	0.7619047619047619	0.8690476190476191	0.5029761904761905	0.7857142857142857	0.2261904761904762
/scratch/asw462/jiant/structure_dependence/npi_scope/npi_scope_1k_sweep	run_10	0.5833333333333334	0.4444444444444444	0.05555555555555555	0.8333333333333334	0.5238095238095238	0.08333333333333333	0.9047619047619048	0.49107142857142855	0.08333333333333333	0.8333333333333334	0.5267857142857143	0.0	0.7619047619047619
/scratch/asw462/jiant/structure_dependence/npi_scope/npi_scope_1k_sweep	run_7	0.501984126984127	0.5	1.0	0.0	0.5029761904761905	1.0	0.0	0.5	1.0	0.0	0.5	1.0	0.0
/scratch/asw462/jiant/structure_dependence/npi_scope/npi_scope_1k_sweep	run_0	0.5	0.5	0.0	1.0	0.5	0.0	1.0	0.5	0.0	1.0	0.5	0.0	1.0
/scratch/asw462/jiant/structure_dependence/npi_scope/npi_scope_1k_sweep	run_11	1.0	0.38492063492063494	0.0	0.7698412698412699	0.7380952380952381	0.0	0.9523809523809523	0.6755952380952381	0.0	0.7023809523809523	0.6636904761904762	0.0	0.6547619047619048
/scratch/asw462/jiant/structure_dependence/npi_scope/npi_scope_1k_sweep	run_1	0.5535714285714286	0.47023809523809523	0.8134920634920635	0.12698412698412698	0.5119047619047619	0.8571428571428571	0.13095238095238096	0.5297619047619048	0.9285714285714286	0.19047619047619047	0.49404761904761907	0.6547619047619048	0.05952380952380952
/scratch/asw462/jiant/structure_dependence/npi_scope/npi_scope_1k_sweep	run_5	1.0	0.3134920634920635	0.0	0.626984126984127	0.6190476190476191	0.0	0.47619047619047616	0.6517857142857143	0.0	0.6071428571428571	0.6994047619047619	0.0	0.7976190476190477
/scratch/asw462/jiant/structure_dependence/npi_scope/npi_scope_1k_sweep	run_3	0.498015873015873	0.5059523809523809	0.015873015873015872	0.996031746031746	0.49702380952380953	0.011904761904761904	1.0	0.5029761904761905	0.03571428571428571	0.9880952380952381	0.5059523809523809	0.0	1.0
/scratch/asw462/jiant/structure_dependence/npi_scope/npi_scope_1k_sweep	run_2	0.5	0.5	0.0	1.0	0.5	0.0	1.0	0.5	0.0	1.0	0.5	0.0	1.0
/scratch/asw462/jiant/structure_dependence/npi_scope/npi_scope_1k_sweep	run_9	1.0	0.373015873015873	0.11507936507936507	0.6309523809523809	0.7529761904761905	0.11904761904761904	0.8928571428571429	0.7767857142857143	0.10714285714285714	1.0	0.5297619047619048	0.11904761904761904	0.0
/scratch/asw462/jiant/structure_dependence/npi_scope/npi_scope_1k_sweep	run_6	0.5178571428571429	0.4583333333333333	0.7698412698412699	0.14682539682539683	0.49107142857142855	0.7261904761904762	0.19047619047619047	0.49702380952380953	0.7857142857142857	0.17857142857142858	0.47619047619047616	0.7976190476190477	0.07142857142857142
/scratch/asw462/jiant/structure_dependence/npi_scope/npi_scope_300_sweep	run_4	0.5	0.5	0.0	1.0	0.5	0.0	1.0	0.5	0.0	1.0	0.5	0.0	1.0
/scratch/asw462/jiant/structure_dependence/npi_scope/npi_scope_300_sweep	run_8	0.88	0.21333333333333335	0.37333333333333335	0.05333333333333334	0.51	0.4	0.08	0.63	0.72	0.08	0.5	0.0	0.0
/scratch/asw462/jiant/structure_dependence/npi_scope/npi_scope_300_sweep	run_10	0.5066666666666667	0.5	1.0	0.0	0.51	1.0	0.0	0.5	1.0	0.0	0.5	1.0	0.0
/scratch/asw462/jiant/structure_dependence/npi_scope/npi_scope_300_sweep	run_7	0.5066666666666667	0.5	1.0	0.0	0.51	1.0	0.0	0.5	1.0	0.0	0.5	1.0	0.0
/scratch/asw462/jiant/structure_dependence/npi_scope/npi_scope_300_sweep	run_0	0.5066666666666667	0.5	1.0	0.0	0.51	1.0	0.0	0.5	1.0	0.0	0.5	1.0	0.0
/scratch/asw462/jiant/structure_dependence/npi_scope/npi_scope_300_sweep	run_11	0.5066666666666667	0.5	1.0	0.0	0.51	1.0	0.0	0.5	1.0	0.0	0.5	1.0	0.0
/scratch/asw462/jiant/structure_dependence/npi_scope/npi_scope_300_sweep	run_1	0.5	0.5	0.0	1.0	0.5	0.0	1.0	0.5	0.0	1.0	0.5	0.0	1.0
/scratch/asw462/jiant/structure_dependence/npi_scope/npi_scope_300_sweep	run_5	0.5066666666666667	0.5	1.0	0.0	0.51	1.0	0.0	0.5	1.0	0.0	0.5	1.0	0.0
/scratch/asw462/jiant/structure_dependence/npi_scope/npi_scope_300_sweep	run_3	0.5	0.5	0.0	1.0	0.5	0.0	1.0	0.5	0.0	1.0	0.5	0.0	1.0
/scratch/asw462/jiant/structure_dependence/npi_scope/npi_scope_300_sweep	run_2	0.5066666666666667	0.5	1.0	0.0	0.51	1.0	0.0	0.5	1.0	0.0	0.5	1.0	0.0
/scratch/asw462/jiant/structure_dependence/npi_scope/npi_scope_300_sweep	run_9	1.0	0.43333333333333335	0.38666666666666666	0.48	0.8	0.76	0.44	0.85	0.4	1.0	0.5	0.0	0.0
/scratch/asw462/jiant/structure_dependence/npi_scope/npi_scope_300_sweep	run_6	0.5	0.5	0.0	1.0	0.5	0.0	1.0	0.5	0.0	1.0	0.5	0.0	1.0
