expression,category,category_2,common,sg,pl,mass,finite,bare,pres,past,ing,en,3sg,arg_1,arg_2,arg_3,root,adjs,restrictor_DE,scope_DE,NPI,animate,occupation,clothing,appearance,thing,breakable,start_with_vowel,frontable,gender
see,S\NP,IV_ag,,,,,0,1,0,0,0,0,0,animate=1,,,,,,,,,,,,,,,,
seeing,S\NP,IV_ag,,,,,0,0,0,0,1,0,0,animate=1,,,,,,,,,,,,,,,,
saw,S\NP,IV_ag,,,,,1,0,0,1,0,0,0,animate=1,,,,,,,,,,,,,,,,
seen,S\NP,IV_ag,,,,,0,0,0,0,0,1,0,animate=1,,,,,,,,,,,,,,,,
see,S\NP,IV_ag,,,,,1,0,1,0,0,0,0,animate=1^sg=0,,,,,,,,,,,,,,,,
sees,S\NP,IV_ag,,,,,1,0,1,0,0,0,1,animate=1^sg=1,,,,,,,,,,,,,,,,
shake,S\NP,IV_ag,,,,,0,1,0,0,0,0,0,animate=1,,,,,,,,,,,,,,,,
shaking,S\NP,IV_ag,,,,,0,0,0,0,1,0,0,animate=1,,,,,,,,,,,,,,,,
shook,S\NP,IV_ag,,,,,1,0,0,1,0,0,0,animate=1,,,,,,,,,,,,,,,,
shaken,S\NP,IV_ag,,,,,0,0,0,0,0,1,0,animate=1,,,,,,,,,,,,,,,,
shake,S\NP,IV_ag,,,,,1,0,1,0,0,0,0,animate=1^sg=0,,,,,,,,,,,,,,,,
shakes,S\NP,IV_ag,,,,,1,0,1,0,0,0,1,animate=1^sg=1,,,,,,,,,,,,,,,,
shrink,S\NP,IV,,,,,0,1,0,0,0,0,0,clothing=1,,,,,,,,,,,,,,,,
shrinking,S\NP,IV,,,,,0,0,0,0,1,0,0,clothing=1,,,,,,,,,,,,,,,,
shrank,S\NP,IV,,,,,1,0,0,1,0,0,0,clothing=1,,,,,,,,,,,,,,,,
shrunk,S\NP,IV,,,,,0,0,0,0,0,1,0,clothing=1,,,,,,,,,,,,,,,,
shrink,S\NP,IV,,,,,1,0,1,0,0,0,0,clothing=1^sg=0,,,,,,,,,,,,,,,,
shrinks,S\NP,IV,,,,,1,0,1,0,0,0,1,clothing=1^sg=1,,,,,,,,,,,,,,,,
start,S\NP,IV_ag,,,,,0,1,0,0,0,0,0,animate=1,,,,,,,,,,,,,,,,
starting,S\NP,IV_ag,,,,,0,0,0,0,1,0,0,animate=1,,,,,,,,,,,,,,,,
started,S\NP,IV_ag,,,,,1,0,0,1,0,0,0,animate=1,,,,,,,,,,,,,,,,
started,S\NP,IV_ag,,,,,0,0,0,0,0,1,0,animate=1,,,,,,,,,,,,,,,,
start,S\NP,IV_ag,,,,,1,0,1,0,0,0,0,animate=1^sg=0,,,,,,,,,,,,,,,,
starts,S\NP,IV_ag,,,,,1,0,1,0,0,0,1,animate=1^sg=1,,,,,,,,,,,,,,,,
suffer,S\NP,IV_ag,,,,,0,1,0,0,0,0,0,animate=1,,,,,,,,,,,,,,,,
suffering,S\NP,IV_ag,,,,,0,0,0,0,1,0,0,animate=1,,,,,,,,,,,,,,,,
suffered,S\NP,IV_ag,,,,,1,0,0,1,0,0,0,animate=1,,,,,,,,,,,,,,,,
suffered,S\NP,IV_ag,,,,,0,0,0,0,0,1,0,animate=1,,,,,,,,,,,,,,,,
suffer,S\NP,IV_ag,,,,,1,0,1,0,0,0,0,animate=1^sg=0,,,,,,,,,,,,,,,,
suffers,S\NP,IV_ag,,,,,1,0,1,0,0,0,1,animate=1^sg=1,,,,,,,,,,,,,,,,
worry,S\NP,IV_ag,,,,,0,1,0,0,0,0,0,animate=1,,,,,,,,,,,,,,,,
worrying,S\NP,IV_ag,,,,,0,0,0,0,1,0,0,animate=1,,,,,,,,,,,,,,,,
worried,S\NP,IV_ag,,,,,1,0,0,1,0,0,0,animate=1,,,,,,,,,,,,,,,,
