care,S\NP,Experiencer,,
cheer,S\NP,Experiencer,,
cry,S\NP,Experiencer,,
delight,S\NP,Experiencer,,
die,S\NP,Experiencer,,
fear,S\NP,Experiencer,,
feel,S\NP,Experiencer,,
hurt,S\NP,Experiencer,,
identify,S\NP,Experiencer,,
mind,S\NP,Experiencer,,
mind,S\NP,Experiencer,,
obsess,S\NP,Experiencer,,
quake,S\NP,Experiencer,,
rage,S\NP,Experiencer,,
react,S\NP,Experiencer,,
reflect,S\NP,Experiencer,,
revel,S\NP,Experiencer,,
see,S\NP,Experiencer,,
shake,S\NP,Experiencer,,
shrink,S\NP,Experiencer,,
start,S\NP,Experiencer,,
stress,S\NP,Experiencer,,
suffer,S\NP,Experiencer,,
weep,S\NP,Experiencer,,
wonder,S\NP,Experiencer,,
worry,S\NP,Experiencer,,
abate,S\NP,Patient,,
accelerate,S\NP,Patient,,
activate,S\NP,Patient,,
advance,S\NP,Patient,,
alter,S\NP,Patient,,
alter,S\NP,Patient,,
augment,S\NP,Patient,,
bake,S\NP,Patient,,
balance,S\NP,Patient,,
barbecue,S\NP,Patient,,
bend,S\NP,Patient,,
blend,S\NP,Patient,,
blossom,S\NP,Patient,,
boil,S\NP,Patient,,
bother,S\NP,Patient,,
break,S\NP,Patient,,
break,S\NP,Patient,,
build,S\NP,Patient,,
burn,S\NP,Patient,,
burn,S\NP,Patient,,
burn,S\NP,Patient,,
burn,S\NP,Patient,,
burst,S\NP,Patient,,
change,S\NP,Patient,,
clarify,S\NP,Patient,,
clean,S\NP,Patient,,
clear,S\NP,Patient,,
close,S\NP,Patient,,
coincide,S\NP,Patient,,
collapse,S\NP,Patient,,
collect,S\NP,Patient,,
combine,S\NP,Patient,,
compound,S\NP,Patient,,
connect,S\NP,Patient,,
consolidate,S\NP,Patient,,
consolidate,S\NP,Patient,,
contract,S\NP,Patient,,
contrast,S\NP,Patient,,
convert,S\NP,Patient,,
cook,S\NP,Patient,,
cool,S\NP,Patient,,
crack,S\NP,Patient,,
crash,S\NP,Patient,,
crush,S\NP,Patient,,
dampen,S\NP,Patient,,
decrease,S\NP,Patient,,
deepen,S\NP,Patient,,
deflect,S\NP,Patient,,
derail,S\NP,Patient,,
destabilize,S\NP,Patient,,
deteriorate,S\NP,Patient,,
deteriorate,S\NP,Patient,,
devalue,S\NP,Patient,,
die,S\NP,Patient,,
die,S\NP,Patient,,
die,S\NP,Patient,,
dilute,S\NP,Patient,,
diminish,S\NP,Patient,,
disperse,S\NP,Patient,,
dissolve,S\NP,Patient,,
dissolve,S\NP,Patient,,
diversify,S\NP,Patient,,
divide,S\NP,Patient,,
double,S\NP,Patient,,
drain,S\NP,Patient,,
ease,S\NP,Patient,,
empty,S\NP,Patient,,
engage,S\NP,Patient,,
erode,S\NP,Patient,,
escalate,S\NP,Patient,,
evaporate,S\NP,Patient,,
even,S\NP,Patient,,
expand,S\NP,Patient,,
expire,S\NP,Patient,,
explode,S\NP,Patient,,
fade,S\NP,Patient,,
fall,S\NP,Patient,,
fill,S\NP,Patient,,
firm,S\NP,Patient,,
flood,S\NP,Patient,,
give,S\NP,Patient,,
grow,S\NP,Patient,,
halt,S\NP,Patient,,
hasten,S\NP,Patient,,
heal,S\NP,Patient,,
heat,S\NP,Patient,,
heat,S\NP,Patient,,
heighten,S\NP,Patient,,
hurt,S\NP,Patient,,
ignite,S\NP,Patient,,
improve,S\NP,Patient,,
increase,S\NP,Patient,,
industrialize,S\NP,Patient,,
inflate,S\NP,Patient,,
intensify,S\NP,Patient,,
join,S\NP,Patient,,
kill,S\NP,Patient,,
lessen,S\NP,Patient,,
level,S\NP,Patient,,
liberalize,S\NP,Patient,,
link,S\NP,Patient,,
marry,S\NP,Patient,,
mature,S\NP,Patient,,
merge,S\NP,Patient,,
mix,S\NP,Patient,,
modify,S\NP,Patient,,
multiply,S\NP,Patient,,
narrow,S\NP,Patient,,
network,S\NP,Patient,,
neutralize,S\NP,Patient,,
open,S\NP,Patient,,
operate,S\NP,Patient,,
pass,S\NP,Patient,,
perish,S\NP,Patient,,
pop,S\NP,Patient,,
pound,S\NP,Patient,,
privatize,S\NP,Patient,,
pull,S\NP,Patient,,
refine,S\NP,Patient,,
reform,S\NP,Patient,,
rejoin,S\NP,Patient,,
rekindle,S\NP,Patient,,
rend,S\NP,Patient,,
renew,S\NP,Patient,,
reopen,S\NP,Patient,,
reproduce,S\NP,Patient,,
revive,S\NP,Patient,,
rip,S\NP,Patient,,
roll,S\NP,Patient,,
round,S\NP,Patient,,
section,S\NP,Patient,,
sever,S\NP,Patient,,
sharpen,S\NP,Patient,,
shatter,S\NP,Patient,,
shorten,S\NP,Patient,,
shrink,S\NP,Patient,,
shut,S\NP,Patient,,
sink,S\NP,Patient,,
smash,S\NP,Patient,,
smooth,S\NP,Patient,,
snap,S\NP,Patient,,
soften,S\NP,Patient,,
spin,S\NP,Patient,,
split,S\NP,Patient,,
split,S\NP,Patient,,
split,S\NP,Patient,,
spoil,S\NP,Patient,,
stabilize,S\NP,Patient,,
stifle,S\NP,Patient,,
strengthen,S\NP,Patient,,
stretch,S\NP,Patient,,
subside,S\NP,Patient,,
swell,S\NP,Patient,,
swim,S\NP,Patient,,
switch,S\NP,Patient,,
tame,S\NP,Patient,,
tear,S\NP,Patient,,
tear,S\NP,Patient,,
tighten,S\NP,Patient,,
topple,S\NP,Patient,,
transform,S\NP,Patient,,
translate,S\NP,Patient,,
triple,S\NP,Patient,,
turn,S\NP,Patient,,
unify,S\NP,Patient,,
unite,S\NP,Patient,,
unite,S\NP,Patient,,
vary,S\NP,Patient,,
wane,S\NP,Patient,,
warm,S\NP,Patient,,
weaken,S\NP,Patient,,
wed,S\NP,Patient,,
clear,S\NP,Source,,
