experiment name	run name	in domain accuracy	out of domain accuracy	1/1	1/0	0/1	0/0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_10k_sweep	run_16	0.9998	0.8208	0.3572	0.642	0.0004	0.0004
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_10k_sweep	run_11	0.9996	0.912	0.1476	0.8268	0.0028	0.0228
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_10k_sweep	run_1	1.0	0.8348	0.32	0.6744	0.0048	0.0008
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_10k_sweep	run_5	1.0	0.9644	0.0696	0.9292	0.0004	0.0008
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_10k_sweep	run_3	1.0	0.9608	0.0732	0.9232	0.0016	0.002
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_10k_sweep	run_2	0.9996	0.9602	0.0672	0.9228	0.0024	0.0076
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_10k_sweep	run_15	1.0	0.9724	0.054	0.9448	0.0	0.0012
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_10k_sweep	run_19	0.9996	0.982	0.036	0.964	0.0	0.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_10k_sweep	run_18	1.0	0.8568	0.2864	0.7136	0.0	0.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_10k_sweep	run_9	0.9998	0.773	0.4388	0.5492	0.0032	0.0088
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_10k_sweep	run_6	0.5694	0.521	0.7072	0.0776	0.0356	0.1796
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_100_sweep	run_14	0.52	0.5	0.0	0.0	0.0	1.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_100_sweep	run_12	0.5	0.5	1.0	0.0	0.0	0.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_100_sweep	run_4	0.52	0.5	0.0	0.0	0.0	1.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_100_sweep	run_8	0.52	0.5	0.0	0.0	0.0	1.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_100_sweep	run_17	0.5	0.5	1.0	0.0	0.0	0.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_100_sweep	run_7	0.52	0.5	0.0	0.0	0.0	1.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_100_sweep	run_13	0.5	0.5	1.0	0.0	0.0	0.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_100_sweep	run_0	0.52	0.5	0.0	0.0	0.0	1.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_100_sweep	run_16	0.52	0.5	0.0	0.0	0.0	1.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_100_sweep	run_11	0.5	0.5	1.0	0.0	0.0	0.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_100_sweep	run_1	0.52	0.5	0.0	0.0	0.0	1.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_100_sweep	run_5	0.52	0.48	0.08	0.04	0.08	0.8
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_100_sweep	run_3	0.68	0.66	0.04	0.32	0.0	0.64
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_100_sweep	run_2	0.94	0.9	0.04	0.84	0.04	0.08
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_100_sweep	run_15	0.52	0.5	0.0	0.0	0.0	1.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_100_sweep	run_19	0.52	0.58	0.32	0.16	0.0	0.52
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_100_sweep	run_18	0.5	0.5	1.0	0.0	0.0	0.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_100_sweep	run_9	0.5	0.5	1.0	0.0	0.0	0.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_100_sweep	run_6	0.5	0.5	1.0	0.0	0.0	0.0
