model,filtered,trigger_type,condition,control,trigger_condition,presupposition_condition,accuracy,entailment,neutral,contradiction,n_examples
BERT,True,change_of_state,test_unembedded_neutral,False,unembedded,neutral,0.3076923076923077,0.38461538461538464,0.3076923076923077,0.3076923076923077,13
BERT,True,change_of_state,test_negated_positive,False,negated,positive,0.6153846153846154,0.6153846153846154,0.38461538461538464,0,13
BERT,True,change_of_state,test_negated_negated,False,negated,negated,0.15384615384615385,0.7692307692307693,0.07692307692307693,0.15384615384615385,13
BERT,True,change_of_state,test_negated_neutral,False,negated,neutral,0.5384615384615384,0.23076923076923078,0.5384615384615384,0.23076923076923078,13
BERT,True,change_of_state,test_interrogative_positive,False,interrogative,positive,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.25,12
BERT,True,change_of_state,test_interrogative_negated,False,interrogative,negated,0.25,0.75,0,0.25,12
BERT,True,change_of_state,test_interrogative_neutral,False,interrogative,neutral,0.6666666666666666,0,0.6666666666666666,0.3333333333333333,12
BERT,True,change_of_state,test_modal_positive,False,modal,positive,0.25,0.25,0.375,0.375,8
BERT,True,change_of_state,test_modal_negated,False,modal,negated,0.125,0.875,0,0.125,8
BERT,True,change_of_state,test_modal_neutral,False,modal,neutral,0.5,0,0.5,0.5,8
BERT,True,change_of_state,test_conditional_positive,False,conditional,positive,0.6363636363636364,0.6363636363636364,0.36363636363636365,0,11
BERT,True,change_of_state,test_conditional_negated,False,conditional,negated,0.18181818181818182,0.7272727272727273,0.09090909090909091,0.18181818181818182,11
BERT,True,change_of_state,test_conditional_neutral,False,conditional,neutral,0.5454545454545454,0.18181818181818182,0.5454545454545454,0.2727272727272727,11
BERT,True,change_of_state,control_negated,True,negated,,0,0,0,0,0
BERT,True,change_of_state,control_modal,True,modal,,0,0,0,0,0
BERT,True,change_of_state,control_interrogative,True,interrogative,,0,0,0,0,0
BERT,True,change_of_state,control_conditional,True,conditional,,0,0,0,0,0
BERT,False,cleft_existence,test_unembedded_positive,False,unembedded,positive,1,1,0,0,100
BERT,False,cleft_existence,test_unembedded_negated,False,unembedded,negated,1,0,0,1,100
BERT,False,cleft_existence,test_unembedded_neutral,False,unembedded,neutral,0.12,0.13,0.12,0.75,100
BERT,False,cleft_existence,test_negated_positive,False,negated,positive,0.99,0.99,0,0.01,100
BERT,False,cleft_existence,test_negated_negated,False,negated,negated,0.97,0.02,0.01,0.97,100
BERT,False,cleft_existence,test_negated_neutral,False,negated,neutral,0.24,0.1,0.24,0.66,100
BERT,False,cleft_existence,test_interrogative_positive,False,interrogative,positive,0.89,0.89,0.11,0,100
BERT,False,cleft_existence,test_interrogative_negated,False,interrogative,negated,1,0,0,1,100
BERT,False,cleft_existence,test_interrogative_neutral,False,interrogative,neutral,0.13,0.11,0.13,0.76,100
BERT,False,cleft_existence,test_modal_positive,False,modal,positive,0.96,0.96,0.04,0,100
BERT,False,cleft_existence,test_modal_negated,False,modal,negated,1,0,0,1,100
BERT,False,cleft_existence,test_modal_neutral,False,modal,neutral,0.15,0.1,0.15,0.75,100
BERT,False,cleft_existence,test_conditional_positive,False,conditional,positive,0.97,0.97,0.03,0,100
BERT,False,cleft_existence,test_conditional_negated,False,conditional,negated,1,0,0,1,100
BERT,False,cleft_existence,test_conditional_neutral,False,conditional,neutral,0.18,0.11,0.18,0.71,100
BERT,False,cleft_existence,control_negated,True,negated,,1,0,0,1,100
BERT,False,cleft_existence,control_modal,True,modal,,0.99,0.01,0.99,0,100
BERT,False,cleft_existence,control_interrogative,True,interrogative,,1,0,1,0,100
BERT,False,cleft_existence,control_conditional,True,conditional,,0.8,0.2,0.8,0,100
BERT,True,cleft_existence,test_unembedded_positive,False,unembedded,positive,1,1,0,0,100
BERT,True,cleft_existence,test_unembedded_negated,False,unembedded,negated,1,0,0,1,100
BERT,True,cleft_existence,test_unembedded_neutral,False,unembedded,neutral,0.12,0.13,0.12,0.75,100
BERT,True,cleft_existence,test_negated_positive,False,negated,positive,0.99,0.99,0,0.01,100
BERT,True,cleft_existence,test_negated_negated,False,negated,negated,0.97,0.02,0.01,0.97,100
BERT,True,cleft_existence,test_negated_neutral,False,negated,neutral,0.24,0.1,0.24,0.66,100
BERT,True,cleft_existence,test_interrogative_positive,False,interrogative,positive,0.89,0.89,0.11,0,100
BERT,True,cleft_existence,test_interrogative_negated,False,interrogative,negated,1,0,0,1,100
BERT,True,cleft_existence,test_interrogative_neutral,False,interrogative,neutral,0.13,0.11,0.13,0.76,100
BERT,True,cleft_existence,test_modal_positive,False,modal,positive,0.9595959595959596,0.9595959595959596,0.04040404040404041,0,99
BERT,True,cleft_existence,test_modal_negated,False,modal,negated,1,0,0,1,99
BERT,True,cleft_existence,test_modal_neutral,False,modal,neutral,0.15151515151515152,0.10101010101010101,0.15151515151515152,0.7474747474747475,99
BERT,True,cleft_existence,test_conditional_positive,False,conditional,positive,0.9625,0.9625,0.0375,0,80
BERT,True,cleft_existence,test_conditional_negated,False,conditional,negated,1,0,0,1,80
BERT,True,cleft_existence,test_conditional_neutral,False,conditional,neutral,0.1875,0.1,0.1875,0.7125,80
BERT,True,cleft_existence,control_negated,True,negated,,0,0,0,0,0
BERT,True,cleft_existence,control_modal,True,modal,,0,0,0,0,0
BERT,True,cleft_existence,control_interrogative,True,interrogative,,0,0,0,0,0
BERT,True,cleft_existence,control_conditional,True,conditional,,0,0,0,0,0
BERT,False,cleft_uniqueness,test_unembedded_positive,False,unembedded,positive,0.04,0.04,0.96,0,100
BERT,False,cleft_uniqueness,test_unembedded_negated,False,unembedded,negated,0,1,0,0,100
BERT,False,cleft_uniqueness,test_unembedded_neutral,False,unembedded,neutral,0.4,0.01,0.4,0.59,100
BERT,False,cleft_uniqueness,test_negated_positive,False,negated,positive,0,0,0.05,0.95,100
BERT,False,cleft_uniqueness,test_negated_negated,False,negated,negated,0,1,0,0,100
BERT,False,cleft_uniqueness,test_negated_neutral,False,negated,neutral,0.01,0,0.01,0.99,100
